datetime,open,high,low,close,volume,date
2009-09-27 19:11:33,1697.0,1701.0,1694.5,1694.5,1182,2009-09-27
2009-09-27 20:09:24,1694.25,1696.75,1692.0,1692.75,633,2009-09-27
2009-09-27 20:34:38,1692.75,1693.25,1689.5,1692.5,516,2009-09-27
2009-09-27 20:48:45,1692.5,1693.0,1690.25,1691.75,561,2009-09-27
2009-09-27 21:26:14,1691.5,1692.5,1689.25,1689.25,494,2009-09-27
2009-09-27 21:58:29,1689.5,1690.5,1688.0,1690.5,480,2009-09-27
2009-09-27 22:55:15,1690.5,1692.0,1690.0,1691.5,480,2009-09-27
2009-09-27 23:41:20,1691.25,1692.25,1689.75,1689.75,441,2009-09-27
2009-09-27 23:59:09,1689.75,1690.5,1689.0,1689.75,104,2009-09-27
2009-09-28 00:57:29,1690.0,1692.75,1689.25,1691.75,454,2009-09-28
2009-09-28 02:09:46,1692.0,1693.0,1689.5,1692.25,544,2009-09-28
2009-09-28 02:44:35,1692.25,1694.5,1692.0,1692.25,709,2009-09-28
2009-09-28 03:01:09,1692.25,1697.25,1692.25,1696.5,673,2009-09-28
2009-09-28 03:11:01,1696.5,1700.0,1696.0,1697.25,601,2009-09-28
2009-09-28 03:28:24,1697.25,1698.25,1695.5,1695.75,558,2009-09-28
2009-09-28 03:36:59,1695.75,1696.25,1690.75,1691.5,557,2009-09-28
2009-09-28 03:42:28,1691.5,1692.75,1690.25,1690.5,663,2009-09-28
2009-09-28 03:56:20,1690.5,1692.75,1690.0,1691.25,581,2009-09-28
2009-09-28 04:15:21,1691.25,1692.75,1691.0,1692.25,577,2009-09-28
2009-09-28 04:36:20,1692.25,1697.0,1692.0,1696.25,589,2009-09-28
2009-09-28 04:53:10,1696.0,1700.0,1696.0,1697.5,700,2009-09-28
2009-09-28 05:31:58,1697.5,1699.5,1696.5,1698.25,601,2009-09-28
2009-09-28 06:24:26,1698.25,1699.25,1696.75,1699.0,658,2009-09-28
2009-09-28 06:40:45,1699.0,1702.25,1699.0,1700.5,773,2009-09-28
2009-09-28 07:22:08,1700.75,1703.0,1700.0,1703.0,611,2009-09-28
2009-09-28 07:34:34,1703.0,1704.25,1702.25,1703.75,859,2009-09-28
2009-09-28 08:05:24,1703.75,1704.0,1701.75,1703.0,588,2009-09-28
2009-09-28 08:17:17,1703.0,1705.25,1702.75,1704.5,704,2009-09-28
2009-09-28 08:25:49,1705.0,1705.75,1704.0,1705.5,722,2009-09-28
2009-09-28 08:33:40,1705.5,1707.75,1705.0,1707.75,1273,2009-09-28
2009-09-28 08:39:06,1707.75,1708.25,1706.5,1707.0,820,2009-09-28
2009-09-28 08:51:30,1706.75,1707.0,1705.5,1706.5,770,2009-09-28
2009-09-28 08:58:35,1706.5,1706.75,1704.75,1704.75,754,2009-09-28
2009-09-28 09:02:27,1705.0,1705.0,1702.75,1703.5,636,2009-09-28
2009-09-28 09:15:05,1703.5,1705.5,1703.0,1705.0,638,2009-09-28
2009-09-28 09:22:59,1705.0,1705.25,1703.75,1704.5,799,2009-09-28
2009-09-28 09:29:01,1704.25,1704.5,1703.25,1703.25,1004,2009-09-28
2009-09-28 09:30:04,1703.25,1703.25,1701.5,1702.5,1258,2009-09-28
2009-09-28 09:30:42,1702.5,1703.0,1701.25,1702.75,1054,2009-09-28
2009-09-28 09:31:35,1702.75,1703.75,1701.0,1701.0,1090,2009-09-28
2009-09-28 09:32:26,1701.0,1703.75,1700.75,1703.75,930,2009-09-28
2009-09-28 09:33:01,1703.5,1704.5,1702.25,1704.0,1007,2009-09-28
2009-09-28 09:34:40,1704.0,1705.0,1703.5,1703.75,838,2009-09-28
2009-09-28 09:35:25,1703.75,1704.25,1703.25,1703.25,1005,2009-09-28
2009-09-28 09:36:04,1703.25,1707.0,1703.0,1705.25,917,2009-09-28
2009-09-28 09:36:57,1705.5,1707.0,1704.25,1705.5,810,2009-09-28
2009-09-28 09:38:08,1705.5,1706.0,1703.25,1703.5,986,2009-09-28
2009-09-28 09:38:56,1703.5,1704.25,1702.75,1703.5,1132,2009-09-28
2009-09-28 09:39:37,1703.5,1704.25,1702.75,1703.75,1041,2009-09-28
2009-09-28 09:41:29,1703.75,1705.5,1703.5,1705.25,944,2009-09-28
2009-09-28 09:42:18,1705.25,1707.75,1705.25,1707.75,627,2009-09-28
2009-09-28 09:43:02,1707.75,1708.75,1707.5,1708.5,1003,2009-09-28
2009-09-28 09:43:08,1708.75,1711.0,1708.5,1710.75,1319,2009-09-28
2009-09-28 09:43:54,1710.75,1711.0,1710.25,1710.75,953,2009-09-28
2009-09-28 09:44:22,1710.75,1711.25,1710.0,1710.5,1185,2009-09-28
2009-09-28 09:44:43,1710.5,1712.75,1710.5,1712.25,1269,2009-09-28
2009-09-28 09:45:02,1712.25,1714.25,1712.0,1714.25,1330,2009-09-28
2009-09-28 09:45:10,1713.75,1714.5,1713.5,1714.5,1129,2009-09-28
2009-09-28 09:45:27,1714.5,1714.75,1714.0,1714.5,989,2009-09-28
2009-09-28 09:45:43,1714.25,1715.75,1714.0,1715.75,1329,2009-09-28
2009-09-28 09:45:59,1715.5,1716.5,1715.25,1716.5,1345,2009-09-28
2009-09-28 09:46:37,1716.5,1716.75,1715.5,1716.0,882,2009-09-28
2009-09-28 09:47:25,1716.0,1716.5,1715.5,1715.75,696,2009-09-28
2009-09-28 09:48:03,1715.75,1717.0,1715.75,1716.75,1460,2009-09-28
2009-09-28 09:48:41,1716.75,1717.25,1715.75,1716.5,1258,2009-09-28
2009-09-28 09:49:13,1716.5,1716.5,1715.0,1715.25,916,2009-09-28
2009-09-28 09:50:00,1715.25,1715.5,1714.0,1715.25,902,2009-09-28
2009-09-28 09:51:00,1715.25,1716.5,1714.75,1715.75,1225,2009-09-28
2009-09-28 09:52:06,1715.5,1716.25,1715.0,1716.25,1608,2009-09-28
2009-09-28 09:52:47,1716.25,1717.5,1716.0,1717.25,1888,2009-09-28
2009-09-28 09:53:46,1717.5,1718.25,1717.5,1717.5,1282,2009-09-28
2009-09-28 09:55:03,1717.5,1717.75,1716.5,1717.5,1255,2009-09-28
2009-09-28 09:56:16,1717.5,1717.5,1716.25,1716.5,940,2009-09-28
2009-09-28 09:57:44,1716.5,1717.25,1716.0,1716.0,1252,2009-09-28
2009-09-28 09:58:17,1716.0,1716.25,1714.5,1715.0,1203,2009-09-28
2009-09-28 09:59:48,1715.0,1716.5,1715.0,1716.5,1160,2009-09-28
2009-09-28 10:00:14,1716.5,1719.25,1716.0,1719.0,1580,2009-09-28
2009-09-28 10:00:31,1719.0,1720.5,1719.0,1719.75,2249,2009-09-28
2009-09-28 10:01:17,1719.75,1720.75,1719.5,1719.75,1390,2009-09-28
2009-09-28 10:02:16,1720.0,1720.75,1719.5,1720.0,1443,2009-09-28
2009-09-28 10:03:07,1719.75,1722.0,1719.75,1722.0,1142,2009-09-28
2009-09-28 10:03:41,1722.0,1722.75,1721.75,1722.25,1508,2009-09-28
2009-09-28 10:04:31,1722.25,1722.75,1721.75,1722.0,1572,2009-09-28
2009-09-28 10:05:30,1722.0,1722.25,1721.0,1721.75,1180,2009-09-28
2009-09-28 10:06:12,1721.75,1722.0,1719.25,1720.0,1247,2009-09-28
